Year,Anomaly
188304,-0.54
188305,-0.39
188306,-0.41
188307,-0.32
188308,-0.41
188309,-0.70
188310,-0.70
188311,-0.90
188312,-0.65
188401,-0.54
188402,-0.80
188403,-0.78
188404,-0.90
188405,-0.82
188406,-0.69
188407,-0.73
188408,-0.63
188409,-0.72
188410,-0.67
188411,-0.96
188412,-0.73
188501,-1.43
188502,-0.88
188503,-0.48
188504,-0.73
188505,-0.84
188506,-0.65
188507,-0.70
188508,-0.62
188509,-0.50
188510,-0.65
188511,-0.60
188512,-0.17
188601,-0.75
188602,-0.68
188603,-0.57
188604,-0.36
188605,-0.47
188606,-0.53
188607,-0.27
188608,-0.43
188609,-0.44
188610,-0.37
188611,-0.48
188612,-0.36
188701,-0.99
188702,-0.72
188703,-0.43
188704,-0.51
188705,-0.38
188706,-0.50
188707,-0.48
188708,-0.66
188709,-0.24
188710,-0.72
188711,-0.61
188712,-0.67
188801,-0.75
188802,-0.88
188803,-0.79
188804,-0.47
188805,-0.49
188806,-0.39
188807,-0.29
188808,-0.46
188809,-0.48
188810,-0.43
188811,-0.50
188812,-0.63
188901,-0.60
188902,-0.03
188903,-0.14
188904,0.00
188905,-0.07
188906,-0.05
188907,-0.16
188908,-0.20
188909,-0.34
188910,-0.55
188911,-0.74
188912,-0.41
189001,-0.73
189002,-0.34
189003,-0.25
189004,-0.20
189005,-0.39
189006,-0.35
189007,-0.26
189008,-0.39
189009,-0.13
189010,-0.36
189011,-0.86
189012,-0.40
189101,-0.55
189102,-0.76
189103,-0.44
189104,-0.52
189105,-0.23
189106,-0.31
189107,-0.25
189108,-0.33
189109,-0.22
189110,-0.56
189111,-0.77
189112,-0.13
189201,-0.59
189202,-0.41
189203,-0.61
189204,-0.50
189205,-0.37
189206,-0.25
189207,-0.43
189208,-0.47
189209,-0.31
189210,-0.40
189211,-0.92
189212,-1.12
189301,-1.75
189302,-1.45
189303,-0.47
189304,-0.36
189305,-0.61
189306,-0.33
189307,-0.28
189308,-0.53
189309,-0.53
189310,-0.44
189311,-0.39
189312,-0.45
189401,-0.63
189402,0.06
189403,0.06
189404,-0.39
189405,-0.12
189406,-0.31
189407,-0.19
189408,-0.27
189409,-0.40
189410,-0.55
189411,-0.64
189412,-0.44
189501,-0.96
189502,-1.03
189503,-0.59
189504,-0.27
189505,-0.23
189506,-0.30
189507,-0.25
189508,-0.31
189509,-0.17
189510,-0.38
189511,-0.36
189512,-0.21
189601,-0.40
189602,-0.14
189603,-0.60
189604,-0.52
189605,-0.20
189606,-0.13
189607,-0.10
189608,-0.21
189609,-0.11
189610,-0.08
189611,-0.54
189612,-0.33
189701,-0.40
189702,-0.55
189703,-0.73
189704,0.05
189705,0.35
189706,-0.21
189707,-0.16
189708,-0.13
189709,-0.04
189710,-0.12
189711,-0.32
189712,-0.46
189801,0.17
189802,-0.50
189803,-1.13
189804,-0.39
189805,-0.28
189806,-0.13
189807,-0.21
189808,-0.21
189809,-0.30
189810,-0.68
189811,-0.60
189812,-0.10
189901,-0.41
189902,-0.63
189903,-0.58
189904,-0.35
189905,-0.29
189906,-0.41
189907,-0.11
189908,-0.07
189909,0.01
189910,-0.11
189911,0.06
189912,-0.79
190001,-0.88
190002,-0.60
190003,-0.08
190004,-0.09
190005,-0.05
190006,-0.15
190007,-0.23
190008,-0.08
190009,-0.18
190010,0.03
190011,-0.26
190012,-0.15
190101,-0.35
190102,-0.20
190103,0.19
190104,0.09
190105,-0.08
190106,-0.03
190107,0.06
190108,-0.10
190109,-0.16
190110,-0.36
190111,-0.35
190112,-0.82
190201,-0.19
190202,0.23
190203,-0.48
190204,-0.54
190205,-0.39
190206,-0.27
190207,-0.23
190208,-0.23
190209,-0.24
190210,-0.55
190211,-0.74
190212,-0.55
190301,-0.14
190302,0.36
190303,0.03
190304,-0.33
190305,-0.33
190306,-0.30
190307,-0.26
190308,-0.35
190309,-0.36
190310,-0.64
190311,-0.59
