id,city,name,country,measurements,bounds,unit,count,average,lastValue,parameter,displayName,parameterId,latitude,longitude,modelName,manufacturerName
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",particles/cm³,29321,16.639224172441498,26.6,um003,um003 particles/cm³,125,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",particles/cm³,29321,0.007797473826563129,0.01,um050,um050 particles/cm³,129,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",f,25419,85.39583827149696,134.0,temperature,temperature f,128,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",mb,25419,962.6930285176658,968.0,pressure,pressure mb,132,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",iaq,25418,78.89322113904694,135.5,voc,voc iaq,150,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",particles/cm³,29321,0.06454207794039803,0.04,um025,um025 particles/cm³,130,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",µg/m³,29321,9.008006450110782,14.3,pm1,pm1 µg/m³,19,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",µg/m³,29321,15.23224351723202,18.8,pm10,pm10 µg/m³,1,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",particles/cm³,29321,0.9753374517024386,1.01,um010,um010 particles/cm³,126,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",particles/cm³,29321,0.0001643937979039659,0.0,um100,um100 particles/cm³,135,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
1084191,,SanteeSioux,US,365564,"[-97.92878, 42.74687, -97.92878, 42.74687]",%,25419,34.220141996720244,11.0,humidity,humidity %,134,42.74687,-97.92878,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",µg/m³,302044,14.485313540606217,5.6,pm25,pm25 µg/m³,2,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",f,3965,73.39694345393507,76.0,temperature,temperature f,128,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",c,38427,73.88659813419343,79.0,temperature,temperature c,100,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
232467,,Sullivan Field,US,2066616,"[-118.41536, 33.966743, -118.41536, 33.966743]",mb,42392,1009.60743575282,1007.78,pressure,pressure mb,132,33.966743,-118.41536,PurpleAir Sensor,PurpleAir
